Posición,AvgTime,StdTime
Mate en 1 - Torre banda,0.00029821395874023436,1.121773983194932e-05
Mate en 1 - Dama lateral,0.00034968852996826173,1.1387850728879266e-05
Mate en 1 - Dos torres,0.00041968822479248046,2.8488186970698732e-05
Mate en 1 - Dama esquina,0.0004901409149169922,3.6238808371751036e-05
Promotion tactic,1.5001924832661946,3.5534412093522435e-05
Mate en 2 - R vs K,1.5003026326497395,3.505933293296375e-05
Mate en 1 - Torre séptima,1.5003435611724854,4.712468515212068e-05
Mate en 2 - Basic 1,1.500368857383728,2.5166535098316977e-05
Complex mid-endgame,1.5233354568481445,0.012013991198803938
Mate en 3 - ejemplo,1.524231195449829,0.0
